slug,linkedin_url,raw_file
mariasteelsky,https://www.linkedin.com/in/mariasteelsky/,mariasteelsky.txt
katierae,https://www.linkedin.com/in/katierae/,katierae.txt
ginakirch,https://www.linkedin.com/in/ginakirch/,ginakirch.txt
lauragonzalezestefani,https://www.linkedin.com/in/lauragonzalezestefani/,lauragonzalezestefani.txt
niabatts,https://www.linkedin.com/in/niabatts/,niabatts.txt
melrosewild,https://www.linkedin.com/in/melrosewild/,melrosewild.txt
kshillo,https://www.linkedin.com/in/kshillo/,kshillo.txt
elizabethkraus,https://www.linkedin.com/in/elizabethkraus/,elizabethkraus.txt
laura-ramirez-jaramillo,https://www.linkedin.com/in/laura-ramirez-jaramillo/,laura-ramirez-jaramillo.txt
susan-namkung-574118129,https://www.linkedin.com/in/susan-namkung-574118129/,susan-namkung-574118129.txt
judy-fairburn-489ab530,https://www.linkedin.com/in/judy-fairburn-489ab530/,judy-fairburn-489ab530.txt
mmervana,https://www.linkedin.com/in/mmervana/,mmervana.txt
jessguenzl,https://www.linkedin.com/in/jessguenzl/,jessguenzl.txt
corinakhalessi,https://www.linkedin.com/in/corinakhalessi/,corinakhalessi.txt
pam-pudar-080b696,https://www.linkedin.com/in/pam-pudar-080b696/,pam-pudar-080b696.txt
shijiro,https://www.linkedin.com/in/shijiro/,shijiro.txt
lynne-chou-o-keefe-5617a,https://www.linkedin.com/in/lynne-chou-o-keefe-5617a/,lynne-chou-o-keefe-5617a.txt
kirilleves,https://www.linkedin.com/in/kirilleves/,kirilleves.txt
lindagreub,https://www.linkedin.com/in/lindagreub/,lindagreub.txt
marissa-fayer,https://www.linkedin.com/in/marissa-fayer/,marissa-fayer.txt
rebeccaweinberg,https://www.linkedin.com/in/rebeccaweinberg/,rebeccaweinberg.txt
anu-duggal-568222,https://www.linkedin.com/in/anu-duggal-568222/,anu-duggal-568222.txt
jo-ann-patneaude-0ab17919,https://www.linkedin.com/in/jo-ann-patneaude-0ab17919/,jo-ann-patneaude-0ab17919.txt
christianchauvet,https://www.linkedin.com/in/christianchauvet/,christianchauvet.txt
garhengkong,https://www.linkedin.com/in/garhengkong/,garhengkong.txt
loristeffel,https://www.linkedin.com/in/loristeffel/,loristeffel.txt
christinamquinn,https://www.linkedin.com/in/christinamquinn/,christinamquinn.txt
amir-blatt-8b69506,https://www.linkedin.com/in/amir-blatt-8b69506/,amir-blatt-8b69506.txt
ibnale,https://www.linkedin.com/in/ibnale/,ibnale.txt
mortimer-berkowitz-iii,https://www.linkedin.com/in/mortimer-berkowitz-iii/,mortimer-berkowitz-iii.txt
anushka-haldar,https://www.linkedin.com/in/anushka-haldar/,anushka-haldar.txt
zoe-perret,https://www.linkedin.com/in/zoe-perret/,zoe-perret.txt
laurarippy,https://www.linkedin.com/in/laurarippy/,laurarippy.txt
irene-hrusovsky-md-a163ab82,https://www.linkedin.com/in/irene-hrusovsky-md-a163ab82/,irene-hrusovsky-md-a163ab82.txt
deborahbjackson,https://www.linkedin.com/in/deborahbjackson/,deborahbjackson.txt
patricializarraga,https://www.linkedin.com/in/patricializarraga/,patricializarraga.txt
rajiv-kapoor-82439a,https://www.linkedin.com/in/rajiv-kapoor-82439a/,rajiv-kapoor-82439a.txt
caseyalbert1,https://www.linkedin.com/in/caseyalbert1/,caseyalbert1.txt
erikasethdavies,https://www.linkedin.com/in/erikasethdavies/,erikasethdavies.txt
tdooley,https://www.linkedin.com/in/tdooley/,tdooley.txt
